TB_R45699_S21_L001	TB_R45699_S21_L001	0
TB_R47433_WGS_S55_L001	TB_R47433_WGS_S55_L001	0
TB_R47436_WGS_S56_L001	TB_R47436_WGS_S56_L001	0
TB_R47564_WGS_S29_L001	TB_R47564_WGS_S29_L001	0
TB_R47591_GCB1_S22_L001	TB_R47591_GCB1_S22_L001	0
TB_R47661_GCB1_S18_L001	TB_R47661_GCB1_S18_L001	0
TB_R47732_WGS_S57_L001	TB_R47732_WGS_S57_L001	0
TB_R48400_WGS_S48_L001	TB_R48400_WGS_S48_L001	0
TB_R48864_S16_L001	TB_R48864_S16_L001	0
TB_R49377_S11_L001	TB_R49377_S11_L001	0
TB_R49477_WGS_S30_L001	TB_R49477_WGS_S30_L001	0
TB_R50530_WGS_S58_L001	TB_R50530_WGS_S58_L001	0
TB_R50539_WGS_S44_L001	TB_R50539_WGS_S44_L001	0
TB_R50912_WGS_S40_L001	TB_R50912_WGS_S40_L001	0
TB_R51042_GCB1_S16_L001	TB_R51042_GCB1_S16_L001	0
TB_R52719_WGS_S33_L001	TB_R52719_WGS_S33_L001	0
TB_R52901_WGS_S49_L001	TB_R52901_WGS_S49_L001	0
TB_R54261_WGS_S31_L001	TB_R54261_WGS_S31_L001	0
TB_R56325_S2_L001	TB_R56325_S2_L001	0
TB_TM2152_S7_L001	TB_TM2152_S7_L001	0
TB_TM2379_WGS_S54_L001	TB_TM2379_WGS_S54_L001	0
TB_TM2857_WGS_S46_L001	TB_TM2857_WGS_S46_L001	0
TB_TM2993_WGS_S41_L001	TB_TM2993_WGS_S41_L001	0
TB_TM946_S22_L001	TB_TM946_S22_L001	0
